"","id","converted_sample_01.fasta.fq_kallisto","converted_sample_02.fasta.fq_kallisto","converted_sample_03.fasta.fq_kallisto","converted_sample_04.fasta.fq_kallisto","converted_sample_05.fasta.fq_kallisto","converted_sample_06.fasta.fq_kallisto","converted_sample_07.fasta.fq_kallisto","converted_sample_08.fasta.fq_kallisto","converted_sample_09.fasta.fq_kallisto","converted_sample_10.fasta.fq_kallisto","converted_sample_11.fasta.fq_kallisto","converted_sample_12.fasta.fq_kallisto","converted_sample_13.fasta.fq_kallisto","converted_sample_14.fasta.fq_kallisto","converted_sample_15.fasta.fq_kallisto","converted_sample_16.fasta.fq_kallisto"
"102109","ENST00000496726.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"102414","ENST00000340630.9",241.557,154.489,274.005,203.275,232.29,248.926,216.795,146.295,216.312,205.895,230.185,203.114,215.071,165.504,156.695,213.038
"102418","ENST00000415653.5",2.36084,0,0,3.16327,0,0,0,0,0,0,0,0,0,0,0,2.4796
"102420","ENST00000417951.6",0,0,0,3.59468,0,0,4.00419,0,0,0,0,0,0,0,0,0
"102424","ENST00000476548.1",123.522,135.028,180.487,135.974,137.726,152.456,147.054,164.735,133.393,130.584,122.549,108.925,89.7702,111.552,134.155,113.254
"102425","ENST00000433985.6",208.56,296.483,155.508,219.993,238.984,271.618,248.146,341.971,215.294,277.521,240.266,246.961,230.158,251.944,285.15,338.228
"102511","ENST00000338754.8",10.8118,6.10893,12.2728,4.6438,9.17307,13.8143,21.408,12.2143,4.62241,6.11016,9.19278,9.19028,4.58707,10.8236,9.22824,9.13619
"102512","ENST00000398110.6",831.897,639.814,723.343,857.95,679.313,879.993,890.868,843.546,734.537,724.691,840.241,728.732,708.447,673.013,785.707,734.563
"102514","ENST00000445720.1",0,0,0,0,0,0,0,0,0,0,0,0,1.40371,0,0,0
"102515","ENST00000442495.5",0,0,0,0,0,0,14.301,0,0,0,0.687291,0,0,1.62019,0.00561402,0
"102516","ENST00000454778.5",0,0,0,0,0,0,1.16281e-05,0,0,0,0,0,0,0.244236,0,16.0698
"102517","ENST00000440953.5",0,0,0,1.99034,3.00593,0,0,3.72115,2.02595,2.00718,0,2.12751,0,0,0,2.8633
"102519","ENST00000450022.1",9.29098,5.07754,4.3923,3.4211,3.50774,3.19299,5.42269,4.51843,4.81489,9.19179,8.87926,5.94977,7.56269,10.2992,2.05898,9.36755
