"","id","converted_sample_01.fasta.fq_quant","converted_sample_02.fasta.fq_quant","converted_sample_03.fasta.fq_quant","converted_sample_04.fasta.fq_quant","converted_sample_05.fasta.fq_quant","converted_sample_06.fasta.fq_quant","converted_sample_07.fasta.fq_quant","converted_sample_08.fasta.fq_quant","converted_sample_09.fasta.fq_quant","converted_sample_10.fasta.fq_quant","converted_sample_11.fasta.fq_quant","converted_sample_12.fasta.fq_quant","converted_sample_13.fasta.fq_quant","converted_sample_14.fasta.fq_quant","converted_sample_15.fasta.fq_quant","converted_sample_16.fasta.fq_quant"
"70826","ENST00000372735.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"70856","ENST00000499130.6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"71122","ENST00000466883.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"71271","ENST00000354760.3",129.692,136.343,89.787,79.8107,83.1361,162.947,106.414,162.947,66.5089,149.645,116.391,142.994,146.32,149.645,133.018,136.343
"71272","ENST00000466315.1",32.3077,35.6568,56.213,21.1893,73.8639,49.0533,21.5858,7.05325,87.4911,22.355,12.6095,28.0059,12.6805,40.355,37.9822,21.6568
"71340","ENST00000628805.2",7.45753,2.36615,4.28201,8.35199,3.07517,0,6.63231,5.43287,0,7.60916,6.91007,15.1351,0.960699,2.53066,3.9485,7.73419
"71341","ENST00000612388.3",178.334,203.292,187.323,187.864,214.563,172.315,216.832,160.672,187.176,157.777,220.517,180.248,231.739,182.262,189.708,185.11
"71343","ENST00000629467.1",0,0,0,0,1.28643,0,0,0,0,0,0,0,0,0,0,0
"71344","ENST00000629514.2",0,0,8.18367,0,0,0,0,0,0,0,0,0,0,0,0,0
"71345","ENST00000626399.1",0,8.53133,13.846,9.38018e-06,0.816799,12.7176,12.3293,0,0,7.4121,7.66467,0,2.54368e-05,12.1841,1.15287,5.99325
"71347","ENST00000629008.1",0.491785,0,0,4.60513e-08,4.81144,9.72912,0,0.966596,0,1.26843,3.02434,0.0124822,2.21664,10.1699,7.06799,5.99929
"71349","ENST00000625962.1",0,1.05257e-05,0,0,0,0,0,0.00731837,1.83074,0,0,0,0,4.7046,0,0
"71350","ENST00000628372.1",8.28555,4.74111,6.97265,6.13844,7.17883,3.52302,2.91272,3.73081,4.90924,6.47779,9.54009,6.25638,9.8022,5.29298,5.00413,5.47481
"71351","ENST00000631145.1",21.3916,23.7551,11.601,20.9525,27.4745,15.0423,18.2374,14.0424,11.918,8.96057,11.5888,14.6744,24.8564,19.2053,17.069,24.985
"71352","ENST00000620558.3",22.1705,33.5269,23.9382,26.281,29.5919,22.9315,10.8844,29.3399,27.1408,18.5342,26.0256,27.7348,26.2333,15.3865,28.2097,29.8666
"71353","ENST00000629095.1",1.17756,2.3907,1.26372,1.2645,2.31142,1.19975,3.72077,1.28648,2.5162,3.56629,0,0,2.54321,0,0,1.19327
"71355","ENST00000626041.1",35.7603,31.8273,42.1971,31.502,34.1222,27.8264,26.1574,24.8312,34.925,30.9389,36.8856,26.0908,36.8671,35.9082,33.7213,28.4551
"71359","ENST00000630973.2",90.1336,76.2354,57.8316,54.9724,60.6175,71.0288,91.9493,55.039,49.7461,48.815,74.4109,47.8596,46.7112,40.1458,78.0827,64.3865
"71361","ENST00000614752.1",0,0,1.14816,0,0,0,0,0,0,0,0,0,1.12278,0,0,0
"71431","ENST00000400518.5",43.9563,73.218,34.4856,1.04402e-07,1.18941e-07,0,22.0314,0.172503,155.175,165.057,182.52,244.439,121.027,153.64,178.607,141.176
"71433","ENST00000542719.6",0.192037,2.8607e-05,64.0397,1.77768e-07,2.0184e-07,0,36.4512,0.289457,0.124531,0.0962611,0.22123,0.671769,0.00951748,0.027514,0.635771,20.5627
"71434","ENST00000474308.5",0,0.00011647,1.16406e-07,0,0,0,0,0,0,0,0,0,0,0,25.2733,0
"71437","ENST00000634537.1",49.0229,24.5135,46.2364,32.1518,10.8337,21.6388,4.94094,5.45712,60.5729,19.4657,0.0175982,61.6498,0.000150335,5.28763e-06,0.0264503,94.3272
"71438","ENST00000400519.6",0,0,0,0,0,0,4.55868,2.33021,0,0,2.288,0,0,0,2.3191,0
"71439","ENST00000400525.6",68.4316,69.9074,71.1634,100.533,210.569,79.1321,76.0896,231.016,588.833,847.872,773.676,824.521,951.3,977.742,714.784,824.319
"71440","ENST00000400521.6",135.821,233.153,127.696,265.28,153.856,266.64,202.686,177.589,1124.8,919.538,1120.13,910.07,797.791,797.723,736.578,855.475
"71442","ENST00000485358.5",0,32.6731,0.532294,10.3268,12.5672,0,23.3782,0.00635674,19.8971,75.237,64.8391,40.1436,0,64.8022,95.6182,30.1507
"71443","ENST00000462843.2",0,0,0,0,0,0,0,0,0,0,0,0,3.08516,0,0,0
"71446","ENST00000491939.6",0,0,0,0,0,0,0,0,0,0,0,0,0,1.72386,0,0
"71447","ENST00000334363.14",0,0,0,0,0,0,0,0,0,0,0,2.38319,0,0,0,0
"71449","ENST00000484672.5",2.12478e-07,0,4.793,0,0,0,0,0,9.57272,0,20.6894,0,17.3852,5.88297e-08,0.379494,0
"71450","ENST00000471835.1",15.2257,9.87269,11.0171,10.2707,2.65385,13.2298,4.35591,1.51689e-08,20.7532,58.6166,33.164,23.533,50.2088,57.5078,64.4394,48.5285
"71451","ENST00000496729.2",0,0,0,0,0,0,0,0,0,0,0,0,0,8.96479,0,0
"71587","ENST00000440097.5",15.9637,17.1039,17.1039,11.4026,13.5424,18.2442,14.8234,7.98184,5.70132,6.84158,1.14026,6.84158,1.14026,5.70132,7.98184,7.98184
"71627","ENST00000302513.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"71874","ENST00000361337.2",433,479,428,466,471,358,495,390,193,183,142,169,182,168,167,175
"71878","ENST00000624459.2",614.885,602.608,725,661,690.595,709.996,648.648,640.463,679,600.562,603,621.024,672.179,677.307,595.446,657
"71880","ENST00000615181.4",0.114604,1.39181,0,0,3.40488,0.00436781,1.35214,0.536969,0,2.43802,0,6.97594,5.82075,7.6931,0.55354,0
"71892","ENST00000519774.5",40.4103,39.693,45.8595,35.7251,1.33333e-08,51.3805,37.3896,46.3651,30.7828,44.3331,53.9105,39.5935,31.446,41.3128,28.5934,51.0655
"71893","ENST00000493455.6",31.4246,14.2714,21.6971,0,27.5127,0,1.11165,3.799e-07,15.5344,8.21438,22.3172,32.3567,0,34.6177,0,16.8673
"71894","ENST00000491142.1",209.754,220.472,213.322,168.62,222.192,227.988,213.514,194.781,192.491,205.775,179.657,209.85,189.864,180.819,208.084,190.999
